iter	Logloss
0	0.6226271841
1	0.5591955171
2	0.5097172255
3	0.4641569
4	0.424502555
5	0.3920957655
6	0.3617974776
7	0.3361771594
8	0.3159493288
9	0.2964115676
10	0.2790060492
11	0.2635125527
12	0.249157282
13	0.23867668
14	0.2287944176
15	0.21942174
16	0.2120679486
17	0.2046716987
18	0.1980331547
19	0.1923179829
20	0.1870943573
21	0.1829052323
22	0.1798997905
23	0.1764014024
24	0.1731857186
25	0.1703200126
26	0.1671958002
27	0.1644194535
28	0.1618457476
29	0.1595291122
30	0.1577685698
31	0.1560213588
32	0.1541108262
33	0.1526776911
34	0.1514091159
35	0.1497864036
36	0.1486702293
37	0.1471928516
38	0.146126111
39	0.1450465309
40	0.1439568614
41	0.1426077861
42	0.1411110813
43	0.1403142281
44	0.1392561345
45	0.1383648191
46	0.1374881843
47	0.1366631165
48	0.1358614151
49	0.1351375082
50	0.1340694154
51	0.1334351487
52	0.1326441208
53	0.1316019006
54	0.1310208708
55	0.1301601616
56	0.1296209326
57	0.1282282241
58	0.1275636196
59	0.1270067866
60	0.1263706922
61	0.1258482975
62	0.1251098083
63	0.1243503284
64	0.1239743378
65	0.1235287457
66	0.1230906322
67	0.1223752827
68	0.121794755
69	0.121274347
70	0.1205849714
71	0.1198911592
72	0.1195163168
73	0.1188160537
74	0.1182831398
75	0.1177250352
76	0.1169666448
77	0.1162521576
78	0.1158356351
79	0.1155544364
80	0.1150245899
81	0.1145521537
82	0.1142810068
83	0.1135308022
84	0.1129645276
85	0.1125445928
86	0.1117005672
87	0.1110527281
88	0.1104245313
89	0.1101467423
90	0.109531243
91	0.1091662262
92	0.1086494901
93	0.1082019027
94	0.1077446957
95	0.107252224
96	0.1066190508
97	0.1059859897
98	0.1055462624
99	0.1051976038
100	0.1048618053
101	0.1044971272
102	0.1040956459
103	0.1034435363
104	0.1031618519
105	0.1025840839
106	0.1021657779
107	0.1015925898
108	0.1009852494
109	0.100499942
110	0.09995363029
111	0.09926000018
112	0.09882623895
113	0.09823149183
114	0.09764498478
115	0.09708918965
116	0.09688258233
117	0.09623855711
118	0.09566631169
119	0.09510376254
120	0.09486771703
121	0.09443258952
122	0.09365867812
123	0.09347213441
124	0.09302192572
125	0.09282855277
126	0.0925445439
127	0.09216149324
128	0.09173202341
129	0.09145120647
130	0.09109398865
131	0.09074457063
132	0.09039772412
133	0.08990711813
134	0.08939769537
135	0.08911939155
136	0.0887844621
137	0.08853492414
138	0.0881451285
139	0.08780314776
140	0.0873830336
141	0.08684529523
142	0.0865431873
143	0.0861189632
144	0.08577180235
145	0.0854344561
146	0.08516276696
147	0.08456486448
148	0.08419398013
149	0.08403842979
150	0.08374257248
151	0.08343835332
152	0.08316551625
153	0.08282740164
154	0.08230620402
155	0.08212523875
156	0.08182273792
157	0.08163809957
158	0.08155314495
159	0.08129270411
160	0.08084497777
161	0.08048486769
162	0.08007263105
163	0.07946302509
164	0.0792758244
165	0.07888563152
166	0.07866730209
167	0.07835655617
168	0.07812399477
169	0.07774809398
170	0.07735085886
171	0.07701630351
172	0.07654445722
173	0.07620021283
174	0.07608184525
175	0.0757661382
176	0.07543769947
177	0.07502189975
178	0.07490749463
179	0.07473629314
180	0.07422436154
181	0.07403535565
182	0.07364039823
183	0.07339603425
184	0.07305783476
185	0.07280881352
186	0.07261208603
187	0.07239636483
188	0.07219264198
189	0.07192652802
190	0.07171583357
191	0.07154492393
192	0.07135869685
193	0.07121277903
194	0.07102992718
195	0.07060926745
196	0.07055437406
197	0.07032935656
198	0.07001769531
199	0.0698515788
200	0.06978485114
201	0.06971475015
202	0.0695527445
203	0.06932573149
204	0.06895284733
205	0.06858039052
206	0.06832250858
207	0.06826977373
208	0.06813982635
209	0.06790933677
210	0.06774305938
211	0.0676176976
212	0.06750809607
